Rank,Name,City,State,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Lower,SAT Upper,ACT Lower,ACT Upper,Website
217,"SUNY, College of Environmental Science and Forestry",Syracuse,NY,Public,1825,2213,17923,7628,36953,97000,52,1150,1300,24,28,www.esf.edu
218,University of Arizona,Tucson,AZ,Public,36862,43751,14744,11272,51707,101000,84,,,,,www.arizona.edu
219,"University of Missouri, Columbia",Columbia,MO,Public,27923,30844,18602,9316,43330,98600,78,1120,1350,23,29,www.missouri.edu
220,The Citadel,Charleston,SC,Public,3043,3717,17935,11281,50506,108100,81,1020,1220,20,25,www.citadel.edu/root
221,University of Washington Bothell,Bothell,WA,Public,5981,6175,9822,12946,51348,108000,80,1030,1230,19,26,https://www.uwb.edu
222,Emerson College,Boston,MA,Private,4088,4459,43965,20323,65324,94300,46,1200,1360,26,30,www.emerson.edu
223,"Colorado State University, Fort Collins",Fort Collins,CO,Public,28404,33083,17058,8221,43437,96100,83,1100,1300,22,28,www.colostate.edu
224,"University of Tennessee, Knoxville",Knoxville,TN,Public,23803,28321,19335,8903,49350,95100,77,1140,1310,24,30,www.utk.edu
225,Taylor University,Upland,IN,Private,2145,2831,24525,17726,45330,90600,87,1045,1290,22,29,www.taylor.edu
226,Drexel University,Philadelphia ,PA,Private,17789,24190,37427,28767,68792,114800,79,1160,1360,24,30,www.drexel.edu
227,Stonehill College,Easton,MA,Private,2498,2536,32911,22865,59560,103200,72,,,,,www.stonehill.edu
228,University of South Florida,Tampa,FL,Public,37076,43540,11700,7937,32324,91300,45,1150,1310,24,29,www.usf.edu
229,St. Mary's College of Maryland,St. Mary's City,MD,Public,1598,1746,21025,8414,45130,95400,82,1070,1290,22,28,www.smcm.edu
230,Bard College,Annandale-on-Hudson,NY,Private,2101,2293,26766,39096,70562,90600,58,,,,,www.bard.edu
231,Washington State University,Pullman,WA,Public,27917,30614,16314,8572,41675,103700,73,1020,1220,20,26,www.wsu.edu
232,Truman State University,Kirksville,MO,Public,6272,6289,12537,8778,27878,85800,67,1185,1420,24,30,www.truman.edu
233,Illinois Wesleyan University,Bloomington,IL,Private,1649,1791,26976,26421,58830,96000,61,1195,1395,24,29,www.iwu.edu
234,"St. John's College, Annapolis",Annapolis,MD,Private,445,513,26808,33723,65409,,54,1280,1450,26,32,stjohnscollege.edu
235,"SUNY, Geneseo",Geneseo,NY,Public,5652,5792,18879,6708,34740,93300,72,1120,1300,24,29,geneseo.edu
236,Westmont College,Santa Barbara,CA,Private,1300,1356,31039,26711,60930,102400,85,1130,1380,23,30,www.westmont.edu
237,Cedarville University,Cedarville,OH,Private,3666,3886,21490,14155,39194,87300,71,1130,1350,23,29,www.cedarville.edu
238,University of the Pacific (CA),Stockton,CA,Private,3639,6255,29171,26884,64796,109300,65,1070,1330,22,30,www.pacific.edu
239,"University of Nebraska, Lincoln",Lincoln,NE,Public,22012,26079,17784,8538,40182,96700,64,1100,1380,22,29,www.unl.edu
240,"University of Texas, Dallas",Richardson,TX,Public,18764,27642,14763,14321,45488,100900,76,1220,1430,26,32,www.utdallas.edu
241,Rollins College,Winter Park,FL,Private,2894,3278,30194,30057,67775,87000,64,,,,,www.rollins.edu
242,University of Central Florida,Orlando,FL,Public,65100,66059,15286,5757,38353,88600,50,1150,1320,24,29,www.ucf.edu
243,Ithaca College,Ithaca,NY,Private,6488,6516,33848,25073,61339,98600,71,,,,,www.ithaca.edu
244,DePaul University,Chicago,IL,Private,17838,22769,30502,20387,56275,102900,72,,,,,www.depaul.edu/Pages/default.aspx
245,Missouri University of Science and Technology,Rolla,MO,Public,7192,8883,14473,8975,38684,122600,84,1100,1340,25,31,www.mst.edu
246,University of New Hampshire,Durham,NH,Public,13688,15363,24529,12539,47570,100300,77,1070,1260,23,28,www.unh.edu
247,Hope College,Holland,MI,Private,3150,3281,26175,15907,45410,90900,74,1090,1320,24,29,hope.edu
248,Loyola University Chicago,Chicago,IL,Private,12864,16673,33036,22016,59958,96000,71,1120,1310,24,29,www.luc.edu
249,Seton Hall University,South Orange,NJ,Private,6260,9801,27563,24710,57090,103800,73,1140,1280,24,28,www.shu.edu
250,College of Wooster,Wooster,OH,Private,1980,2122,25442,30851,61900,91300,56,1150,1380,24,30,wooster.edu
251,University of Scranton,Scranton,PA,Private,3893,5373,35298,22094,61096,99700,75,1080,1280,23,28,www.scranton.edu
252,University of Alabama,Tuscaloosa,AL,Public,35625,38563,21973,16494,46744,97400,53,1050,1280,23,32,www.ua.edu
253,College of Saint Benedict,St. Joseph,MN,Private,1937,2022,25020,28210,56880,88600,81,1010,1220,22,28,www.csbsju.edu
254,Saint John's University (MN),Collegeville,MN,Private,1815,1816,23977,27780,55872,108400,80,970,1190,22,27,www.csbsju.edu/About/Saint-Johns-University.htm
255,California Lutheran University,Thousand Oaks,CA,Private,3207,4236,25871,27282,59877,95000,73,1060,1230,21,27,www.callutheran.edu
256,"Embry-Riddle Aeronautical University, Prescott",Prescott,AZ,Private,2543,2663,32898,15756,51036,117900,77,1130,1350,23,29,www.prescott.erau.edu
257,Beloit College,Beloit,WI,Private,1402,1509,13972,30344,59442,85700,54,,,,,www.beloit.edu
258,Western Washington University,Bellingham,WA,Public,15915,16246,16220,6500,38067,99300,85,1080,1280,22,28,www.wwu.edu
259,Rockhurst University,Kansas City,MO,Private,2176,3043,22901,26031,51631,92500,72,1050,1230,22,27,www.rockhurst.edu
260,University of Kansas,Lawrence,KS,Public,20894,27625,18814,9205,41074,98600,93,,,23,28,www.ku.edu
261,Oregon State University,Corvallis,OR,Public,29777,30896,20493,8263,44706,104800,79,1070,1300,22,28,oregonstate.edu
262,"University of Maryland, Baltimore County",Baltimore,MD,Public,12702,13662,20539,9402,41674,103600,60,1140,1360,24,29,https://www.umbc.edu
263,Point Loma Nazarene University,San Diego,CA,Private,3313,4417,31452,16687,49844,90100,76,1100,1290,23,28,https://www.pointloma.edu
264,Wheaton College (MA),Norton,MA,Private,1688,1695,27875,31592,65818,97500,48,1150,1350,26,30,wheatoncollege.edu
265,New School,New York,NY,Private,8911,10389,40819,19358,69475,101700,62,1100,1310,24,28,www.newschool.edu
266,Calvin University,Grand Rapids,MI,Private,3840,4232,25596,18532,46790,91100,83,1100,1330,23,30,https://www.calvin.edu
267,Christopher Newport University,Newport News,VA,Public,5001,5081,22351,5737,41876,87200,72,,,,,cnu.edu
268,New Jersey Institute of Technology,Newark,NJ,Public,9366,11446,19409,13782,51518,121300,61,1190,1370,24,30,www.njit.edu
269,Juniata College,Huntingdon,PA,Private,1495,1638,24795,29639,58165,93100,71,,,,,www.juniata.edu
270,College of the Ozarks,Point Lookout,MO,Private,1508,1773,8352,15362,29539,71100,13,1088,1235,21,26,www.cofo.edu
271,University of Arkansas,Fayetteville,AR,Public,24344,27558,16069,6629,40162,98000,66,1110,1280,23,29,www.uark.edu
272,"California State University, Long Beach",Long Beach,CA,Public,34415,37622,9423,8454,35946,101700,28,1020,1230,20,26,www.csulb.edu
273,"California State Polytechnic University, Pomona",Pomona,CA,Public,24747,26053,13068,7957,37937,110800,55,1010,1230,20,27,www.csupomona.edu
274,"CUNY, Queens College",Queens,NY,Public,19866,20379,3318,9104,35692,96700,43,1060,1220,,,www.qc.cuny.edu/Pages/home.aspx
275,University of Redlands,Redlands,CA,Private,3556,4898,29520,30419,67024,102400,75,1070,1250,23,28,www.redlands.edu
276,Michigan Technological University,Houghton,MI,Public,6148,7292,15481,11959,46344,116300,74,1160,1340,25,30,www.mtu.edu
277,New College of Florida,Sarasota,FL,Public,859,885,10248,9341,43678,86500,69,1190,1380,25,30,www.ncf.edu
278,University of Dallas,Irving,TX,Private,1505,2510,23663,25952,54876,96400,47,1140,1370,24,31,www.udallas.edu
279,"University of Illinois, Chicago",Chicago,IL,Public,19476,30539,13866,13415,43518,103800,77,1080,1330,20,26,www.uic.edu/uic
280,Wabash College,Crawfordsville,IN,Private,848,864,21870,28547,54600,114400,63,1070,1280,23,28,www.wabash.edu
281,Washington College,Chestertown,MD,Private,1484,1520,28943,26844,61010,93500,48,,,,,www.washcoll.edu
282,Saint Michael's College,Colchester,VT,Private,2077,2126,30142,23373,57560,98500,85,,,,,www.smcvt.edu
283,The Catholic University of America,Washington,DC,Private,3323,6023,32731,24577,62482,105100,83,,,,,www.cua.edu
284,Massachusetts Maritime Academy,Buzzards Bay,MA,Public,1780,1811,18027,10571,43085,117500,83,1040,1200,21,25,https://www.maritime.edu
285,Siena College,Loudonville,NY,Private,3226,3288,27588,24332,53855,101500,78,,,,,www.siena.edu/pages/1.asp
286,Bennington College,Bennington,VT,Private,782,851,29815,35753,70760,90000,57,,,,,www.bennington.edu/Home.aspx
287,John Carroll University,University Heights,OH,Private,3273,3545,25017,25797,55820,97300,85,1000,1140,22,27,sites.jcu.edu
288,Saint Mary's College (IN),Notre Dame,IN,Private,1637,1690,23244,25970,55200,89300,78,1030,1250,23,29,https://www.saintmarys.edu
289,Seattle Pacific University,Seattle,WA,Private,3359,3783,30299,23350,56485,103400,91,1060,1280,21,27,www.spu.edu
290,"University at Albany, SUNY",Albany,NY,Public,14939,17743,18093,9096,40562,101700,54,1080,1260,22,26,www.albany.edu
291,Messiah College,Mechanicsburg,PA,Private,2866,3331,27200,18110,47930,93100,77,1100,1310,22,29,www.messiah.edu
292,Hofstra University,Hempstead,NY,Private,7438,11131,32240,24541,61260,110400,64,1130,1310,24,29,hofstra.edu
293,Biola University,La Mirada,CA,Private,4256,6172,31492,18028,54516,92500,72,1063,1298,21,28,www.biola.edu
294,Duquesne University,Pittsburgh,PA,Private,6467,9190,28961,19545,52108,96100,72,1120,1270,24,29,www.duq.edu
295,San Jose State University,San Jose,CA,Public,27394,35835,14627,8545,40046,114700,67,1000,1210,19,26,www.sjsu.edu
296,Ursinus College,Collegeville,PA,Private,1507,1576,29219,32962,66242,101800,78,1110,1310,24,30,www.ursinus.edu
297,Saint Mary's College of California,Moraga,CA,Private,3018,3913,33570,29572,65524,110800,82,1060,1240,22,27,www.stmarys-ca.edu
298,Regis University,Denver,CO,Private,5127,8341,23672,21367,51202,94800,60,1070,1266,20,26,www.regis.edu
299,Temple University,Philadelphia,PA,Public,31739,39967,23366,10739,44190,95900,57,,,,,www.temple.edu
300,"California State University, Fullerton",Fullerton,CA,Public,38279,40905,8737,8436,39222,98400,46,1020,1180,19,24,www.fullerton.edu
301,"CUNY, Hunter College",New York,NY,Public,20626,23005,3170,8039,29454,94500,40,1120,1290,,,www.hunter.cuny.edu/main
302,Ohio Northern University,Ada,OH,Private,2310,3088,23100,20796,46118,103900,66,1130,1310,22,28,www.onu.edu
303,Maryland Institute College of Art,Baltimore,MD,Private,2041,2128,38763,18939,62850,84500,62,1060,1290,24,29,
304,Bradley University,Peoria,IL,Private,4669,5844,24814,19250,46680,104900,71,1080,1290,22,28,www.bradley.edu
305,Appalachian State University,Boone,NC,Public,17811,18811,13691,8312,33819,82700,70,1100,1270,23,27,www.appstate.edu
306,University of Houston,Houston,TX,Public,40813,45364,16392,9530,37306,103900,61,1110,1280,23,27,www.uh.edu
307,Transylvania University,Lexington,KY,Private,966,983,25405,21960,50550,85600,95,,,,,https://www.transy.edu
308,University of Kentucky,Lexington,KY,Public,23718,29465,18527,9387,45634,96400,96,1080,1330,22,28,www.uky.edu
309,California State University Maritime Academy,Vallejo,CA,Public,1090,1181,16416,7716,39962,129600,66,,,,,https://www.csum.edu/web/mycampus/home;jsessionid=788be41b906ebd9485432c0ba641d830
310,Presbyterian College,Clinton,SC,Private,1135,1280,18504,31372,51910,89900,65,1020,1250,21,27,www.presby.edu
311,Texas Tech University,Lubbock,TX,Public,32154,36996,17134,6632,33425,106500,69,1070,1240,22,27,www.texastech.edu
312,"Embry-Riddle Aeronautical University, Daytona Beach",Daytona Beach,FL,Private,5777,6338,33120,15100,51828,111200,75,1080,1310,22,28,daytonabeach.erau.edu
313,University of Cincinnati,Cincinnati,OH,Public,28857,37155,22828,7045,44490,97300,76,1120,1340,23,28,www.uc.edu
314,Hampden-Sydney College,Hampden-Sydney,VA,Private,1046,1054,31337,26751,60360,108600,55,1050,1265,21,27,www.hsc.edu
315,Southwestern University,Georgetown,TX,Private,1396,1536,24993,25506,54330,93500,43,1110,1320,23,29,www.southwestern.edu
316,Whitworth University,Spokane,WA,Private,2342,2627,28229,26020,57824,88800,89,1090,1310,23,29,www.whitworth.edu
317,Franciscan University of Steubenville,Steubenville,OH,Private,2230,2929,23699,10971,37790,86200,83,1080,1300,23,28,www.franciscan.edu
318,Belmont University,Nashville,TN,Private,6636,8012,34819,13488,50740,80900,81,1140,1310,24,29,www.belmont.edu
319,Saint Anselm College,Manchester,NH,Private,1964,1995,31268,23338,56846,100300,76,1140,1300,24,28,www.anselm.edu
320,Towson University,Towson,MD,Public,21615,22705,17893,8815,38754,91200,77,1055,1210,21,25,www.towson.edu
321,University of Evansville,Evansville,IN,Private,2516,2537,20517,26391,50868,89900,70,1020,1255,22,29,www.evansville.edu
322,Earlham College,Richmond,IN,Private,1072,1128,19454,36987,58670,88400,52,1190,1400,25,30,earlham.edu
323,College of Charleston,Charleston,SC,Public,10863,11322,19311,9018,48057,85100,80,1070,1230,22,27,www.cofc.edu
324,Dordt University,Sioux Center,IA,Private,1533,1579,23792,16673,43800,89600,72,1050,1320,22,28,www.dordt.edu
325,Xavier University,Cincinnati,OH,Private,4893,6786,30019,20690,52380,94000,74,1060,1240,22,28,www.xavier.edu
326,Milwaukee School of Engineering,Milwaukee,WI,Private,2779,2823,21328,25716,52046,117600,63,1153,1360,25,30,www.msoe.edu/home
327,Pacific Lutheran University,Tacoma,WA,Private,2942,3122,24034,26984,54800,98100,75,1040,1270,21,27,www.plu.edu
328,Pratt Institute,Brooklyn,NY,Private,4050,5035,43969,20362,65308,102300,57,1040,1290,24,29,https://www.pratt.edu
329,Kettering University,Flint,MI,Private,2129,2311,37247,18564,59227,125000,70,1190,1350,24,29,https://www.kettering.edu
330,St. Joseph's College (NY),Brooklyn,NY,Private,1085,1176,16973,14686,39050,86900,68,868,1060,18,22,www.sjcny.edu
331,Knox College,Galesburg,IL,Private,1356,1376,22998,29331,56554,95400,72,,,,,www.knox.edu
332,Master's University,Santa Clarita,CA,Private,1551,1946,26292,18498,47766,86600,66,1030,1240,20,23,www.masters.edu
333,SUNY Maritime College,Throggs Neck,NY,Public,1778,1794,18413,7134,34958,140700,69,1100,1253,22,26,www.sunymaritime.edu
334,"University of Wisconsin, La Crosse",La Crosse,WI,Public,10480,10548,14424,2975,26055,88300,73,,,22,26,www.uwlax.edu
335,"California State University, Chico",Chico,CA,Public,17732,17875,14703,8615,36300,105100,68,990,1170,19,25,www.csuchico.edu
336,"University of North Carolina, Wilmington",Wilmington,NC,Public,16060,16487,18093,5471,38678,80500,67,1185,1310,23,27,uncw.edu
337,Rochester Institute of Technology,Rochester,NY,Private,15217,16584,30187,21055,54714,106600,57,1190,1380,26,32,www.rit.edu
338,Wagner College,Staten Island,NY,Private,1858,2271,30106,26903,62203,105900,70,,,,,wagner.edu
339,Hendrix College,Conway,AR,Private,1249,1354,20695,35974,60096,90300,80,1100,1410,24,31,www.hendrix.edu
340,Illinois State University,Normal,IL,Public,20115,20784,21345,9124,40036,95000,89,,,21,26,www.illinoisstate.edu
341,Ramapo College of New Jersey,Mahwah,NJ,Public,6120,6466,21316,11907,39973,95200,57,1050,1230,21,26,https://www.ramapo.edu
342,Westminster College (UT),Salt Lake City,UT,Private,2422,2570,21109,20070,47784,92200,93,1060,1267,21,28,https://www.westminstercollege.edu
343,Mills College,Oakland,CA,Private,869,1310,24558,35560,63767,91200,87,,,,,www.mills.edu
344,Luther College,Decorah,IA,Private,2053,2214,25273,26533,54045,85900,65,1023,1305,23,28,www.luther.edu
345,Virginia Commonwealth University,Richmond,VA,Public,26355,30675,21655,9187,51204,88200,84,1070,1260,21,27,www.vcu.edu
346,St. Norbert College,De Pere,WI,Private,2162,2165,24930,20123,48110,88700,79,1110,1230,22,27,www.snc.edu
347,University of Wyoming,Laramie,WY,Public,10874,12397,13070,7422,31387,98800,97,1040,1290,22,27,www.uwyo.edu
348,Austin College,Sherman,TX,Private,1228,1288,21011,29820,53784,93100,52,1160,1360,23,29,www.austincollege.edu
349,"University of Nevada, Reno",Reno,NV,Public,20196,21657,14505,5672,38398,95000,88,1070,1260,21,26,www.unr.edu
350,Simmons College,Boston,MA,Private,1825,6283,28308,26660,58230,94300,60,1130,1310,24,29,www.simmons.edu
351,Allegheny College,Meadville,PA,Private,1802,1957,22927,33282,61120,93500,68,1140,1320,23,29,allegheny.edu
352,Bethel University,Saint Paul,MN,Private,3006,3797,27151,19821,50350,85700,83,1030,1360,21,27,www.bethel.edu
353,Adelphi University,Garden City,NY,Private,5768,7978,28322,20425,56358,96400,73,1060,1240,22,27,www.adelphi.edu
354,"SUNY, College at New Paltz",New Paltz,NY,Public,7565,7709,16192,8061,34080,85200,44,1100,1260,23,28,www.newpaltz.edu
355,Wentworth Institute of Technology,Boston,MA,Private,4457,4543,36690,13455,54071,112700,92,1080,1270,22,28,https://wit.edu
356,Drew University,Madison,NJ,Private,1678,2117,26218,35351,66486,95000,63,,,,,www.drew.edu
357,Gordon College,Wenham,MA,Private,1784,1963,28240,17558,49940,91300,89,1050,1290,22,29,www.gordon.edu
358,Oklahoma State University,Stillwater,OK,Public,23241,25295,14824,9874,38686,98600,74,1070,1260,22,28,okstate.edu
359,Millsaps College,Jackson,MS,Private,859,871,22292,29468,55322,88700,49,1110,1320,22,28,www.millsaps.edu
360,Georgia College &amp; State University,Milledgeville,GA,Public,6804,6952,19686,7252,46834,80300,79,1100,1260,23,27,www.gcsu.edu
361,Rowan University,Glassboro,NJ,Public,16047,18484,23692,9357,39526,91200,69,1050,1260,22,28,www.rowan.edu
362,"CUNY, Brooklyn College",Brooklyn,NY,Public,17679,17803,4211,9250,34942,97800,40,1050,1210,,,www.brooklyn.cuny.edu
363,John Brown University,Siloam Springs,AR,Private,2230,2613,22583,15476,38834,82700,76,1080,1310,24,29,www.jbu.edu
364,Florida International University,Miami,FL,Public,55835,56718,12503,6471,36086,90100,54,1080,1240,22,27,www.fiu.edu
365,Salisbury University,Salisbury,MD,Public,8714,8721,18792,5527,34102,89800,65,,,,,www.salisbury.edu
366,Kansas State University,Manhattan,KS,Public,21022,22795,17926,6435,39696,97200,94,,,,,www.k-state.edu
367,Concordia College—Moorhead,Moorhead,MN,Private,2059,2140,23393,23456,49488,85200,62,1055,1305,22,28,www.concordiacollege.edu
368,"University of Wisconsin, Eau Claire",Eau Claire,WI,Public,10904,10944,16188,3449,27990,93600,76,,,21,26,www.uwec.edu
369,North Dakota State University,Fargo,ND,Public,12915,14358,15265,4666,33478,98600,92,1060,1328,21,26,www.ndsu.edu
370,Sacred Heart University,Fairfield,CT,Private,5937,8543,39973,15472,58440,100500,60,,,,,https://www.sacredheart.edu
371,Hanover College,Hanover,IN,Private,1089,1103,21898,26000,50450,85100,84,1070,1260,22,27,www.hanover.edu
372,Florida Institute of Technology,Melbourne,FL,Private,3943,6402,31592,23760,59650,105400,63,1130,1320,24,29,www.fit.edu
373,Hampshire College,Amherst,MA,Private,1268,1382,29416,30632,67114,92300,63,,,,,www.hampshire.edu
374,Saint John Fisher College,Rochester,NY,Private,2976,3776,27022,17631,47770,86700,65,1060,1230,22,26,www.sjfc.edu
375,"University of Minnesota, Morris",Morris,MN,Public,1627,1912,11051,11572,25942,85300,64,1150,1390,22,28,www.morris.umn.edu
376,Roger Williams University,Bristol,RI,Private,5024,5472,35100,13685,52700,92700,82,,,,,rwu.edu
377,La Salle University,Philadelphia,PA,Private,3896,5197,25937,27431,45476,104800,79,,,,,www.lasalle.edu
378,Lebanon Valley College,Annville,PA,Private,1784,1910,27137,26230,57390,93100,73,1063,1250,22,26,www.lvc.edu
379,Assumption College,Worcester,MA,Private,2318,2481,28285,20777,54594,95700,79,,,,,https://www.assumption.edu
380,Merrimack College,North Andover,MA,Private,3786,4191,32442,20113,57865,102500,82,,,,,www.merrimack.edu/index.php
381,Grove City College,Grove City,PA,Private,2373,2383,,6843,28504,98400,80,1071,1249,23,32,www.gcc.edu
382,University of St. Thomas (TX),Houston,TX,Private,1979,3168,17309,23263,46506,92000,81,1070,1235,21,27,https://www.stthom.edu/home/index.aqf
383,Le Moyne College,Syracuse,NY,Private,3148,3431,23130,22291,49995,91700,64,1080,1240,22,27,www.lemoyne.edu
384,St. Edward's University,Austin,TX,Private,4300,4447,22968,28957,58700,89100,84,1080,1250,22,28,www.stedwards.edu/contactus
385,"University of Hawaii, Manoa",Honolulu,HI,Public,15299,17612,15307,7227,51550,91600,83,1050,1240,21,26,manoa.hawaii.edu
386,Augustana College,Rock Island,IL,Private,2591,2647,24745,27532,53422,88900,59,,,,,augustana.edu
387,Covenant College,Lookout Mountain,GA,Private,1017,1068,22202,21187,45920,79400,95,1130,1350,24,30,www.covenant.edu
388,Howard University,Washington,DC,Private,6156,9392,23424,20427,43201,101300,41,1090,1290,22,28,www.howard.edu
389,Union University (TN),Jackson,TN,Private,2853,3377,22839,24075,51790,83000,60,1070,1320,23,29,www.uu.edu
390,Iona College,New Rochelle,NY,Private,3649,3792,26717,23110,55864,106200,92,980,1180,20,25,www.iona.edu
391,Lipscomb University,Nashville,TN,Private,3705,4642,24279,18955,47734,84800,60,1060,1330,23,29,https://www.lipscomb.edu
392,Carroll College,Helena,MT,Private,1362,1415,26297,20475,48538,91400,78,1080,1270,22,28,www.carroll.edu
393,Berry College,Mount Berry,GA,Private,2110,2138,24165,21883,50632,84900,62,1120,1300,24,29,www.berry.edu
394,Elizabethtown College,Elizabethtown,PA,Private,1735,1766,28222,27431,58490,89700,74,1070,1280,22,27,www.etown.edu
395,College of St. Scholastica,Duluth,MN,Private,3143,4276,23935,23314,49104,86800,68,1020,1300,19,27,css.edu
396,Augustana University,Sioux Falls,SD,Private,1743,2080,18446,21816,45458,88400,68,1070,1290,23,29,www.augie.edu
397,Louisiana Tech University,Ruston,LA,Public,12708,12839,10774,10650,29277,100700,65,870,1100,22,27,www.latech.edu
398,George Fox University,Newberg,OR,Private,2821,4076,28366,17754,48902,89600,82,1050,1270,21,27,www.georgefox.edu
399,University of North Dakota,Grand Forks,ND,Public,13957,14406,15056,4640,33017,96000,83,1050,1270,21,26,und.edu
400,Pace University,New York,NY,Private,10063,12986,29588,28509,64982,107800,80,1040,1220,21,27,www.pace.edu
401,University of Mississippi,University,MS,Public,20940,23136,13929,9642,40086,89100,84,1070,1290,22,29,www.olemiss.edu
402,California Institute of the Arts,Santa Clarita,CA,Private,991,1498,46101,15401,68993,91000,24,,,,,
403,Linfield College,McMinnville,OR,Private,1535,1692,27254,25864,56712,92000,81,1020,1210,20,26,www.linfield.edu
404,Berklee College of Music,Boston,MA,Private,6762,6952,47270,19811,63574,84200,53,,,,,
405,University of Northern Iowa,Cedar Falls,IA,Public,11334,11861,16496,4677,31872,85300,81,1080,1360,21,26,www.uni.edu
406,New Mexico Institute of Mining and Technology,Socorro,NM,Public,1707,2009,13694,6883,35153,120400,22,1190,1390,23,29,www.nmt.edu
407,St. John's University (NY),Queens,NY,Private,17861,21340,25747,25628,59865,106600,68,1060,1250,22,29,www.stjohns.edu/contact.stj
408,University of Massachusetts Lowell,Lowell,MA,Public,16407,18315,19322,9817,46983,109300,69,1130,1310,24,29,www.uml.edu
409,South Dakota School of Mines and Technology,Rapid City,SD,Public,2778,2885,19759,4230,28770,118500,83,1150,1353,24,29,https://www.sdsmt.edu
410,Goucher College,Baltimore,MD,Private,1508,2236,25306,29040,59810,90600,79,,,,,www.goucher.edu
411,"CUNY, The City College of New York",New York,NY,Public,15842,16001,2540,9669,36674,99100,46,1040,1240,,,www.ccny.cuny.edu
412,Nebraska Wesleyan University,Lincoln,NE,Private,2064,3703,23652,18976,46544,80500,71,1040,1300,22,28,www.nebrwesleyan.edu
413,Brigham Young University-Idaho,Rexburg,ID,Private,51881,69458,7977,4070,12322,93500,95,990,1180,20,25,www.byui.edu
414,Valparaiso University,Valparaiso,IN,Private,3531,4026,21946,26441,52980,98000,84,1060,1270,23,29,www.valpo.edu
415,Lake Forest College,Lake Forest,IL,Private,1542,1640,24628,31022,58675,102600,53,,,,,www.lakeforest.edu
416,Azusa Pacific University,Azusa,CA,Private,6263,9926,27267,21186,52396,85700,60,990,1220,21,27,www.apu.edu
417,"California State University, Fresno",Fresno,CA,Public,23020,25325,5872,10267,32311,97300,59,910,1110,16,22,www.fresnostate.edu
418,West Chester University of Pennsylvania,West Chester,PA,Public,15851,17306,22193,5743,38253,92200,69,1040,1210,21,26,www.wcupa.edu
419,Goshen College,Goshen,IN,Private,921,950,19251,23958,46500,79200,64,980,1233,19,28,www.goshen.edu
420,Agnes Scott College,Decatur,GA,Private,921,981,20356,29066,54065,83600,66,,,,,www.agnesscott.edu
421,Maryville University of Saint Louis,St. Louis,MO,Private,3486,7689,23891,12346,46076,80100,92,983,1265,21,27,www.maryville.edu
422,Montclair State University,Montclair,NJ,Public,18785,21013,18500,9983,38435,95400,71,990,1150,,,www.montclair.edu
423,Oregon Institute of Technology,Klamath Falls,OR,Public,5486,7358,17041,5674,42093,106800,61,1040,1230,21,26,www.oit.edu
424,Albion College,Albion,MI,Private,1476,1568,17863,34181,56750,99300,71,1010,1200,20,26,www.albion.edu
425,University of North Florida,Jacksonville,FL,Public,16309,16531,13795,7267,35614,86600,59,1090,1280,21,26,www.unf.edu
426,San Francisco State University,San Francisco,CA,Public,29485,29758,13787,8470,38599,99500,70,950,1150,18,24,www.sfsu.edu
427,Montana State University,Bozeman,MT,Public,15848,16613,17754,5661,38121,96200,83,1090,1300,21,28,www.montana.edu
428,High Point University,High Point,NC,Private,4608,4951,38741,10331,51105,84300,81,1050,1240,21,27,www.highpoint.edu
429,Whittier College,Whittier,CA,Private,1660,1987,25322,28841,61409,95600,74,1010,1220,21,27,www.whittier.edu
430,Eckerd College,St. Petersburg,FL,Private,2037,2200,32718,23182,59200,88400,73,1060,1260,23,29,www.eckerd.edu
431,University of Louisville,Louisville,KY,Public,18009,21402,16721,9589,41472,87600,75,1070,1290,22,28,louisville.edu
432,Mississippi State University,Starkville,MS,Public,19554,21883,16192,10003,38410,94100,62,,,21,28,www.msstate.edu
